"Código","Descripción","Forma","Concentración","Pres.","I NA","II NA","III NA","Vía Adm.","Indicaciones","Reg. Terapéutico"
"A11DB","Complejo B:  Tiamina (Vitamina B1) Piridoxina (Vitamina B6)  Cianocobalamina  (Vitamina B12)","Solido parenteral","200 mg  50 mg  0,03 mg Nota: se pueden adherir otras vitaminas del complejo B, siempre y cuando se cumplan con los requerimientos aquí detallados.","H   Hospitalaria","","1","1","P(IV)  Parenteral (Intravenosa)","Indicación general:Profilaxis y tratamiento de sus deficiencias: Neuropatía asociada a toxicidad de isoniazida, cicloserina y otros medicamentos. Anemia perniciosa por falta o inhibición del factor intrínseco.",""
"A11GA01","Ácido ascórbico (Vitamina C)","Liquido parenteral","100 mg/mL","H   Hospitalaria","","1","1","P         Parenteral","Indicación general:Deficiencia de ácido ascórbico (Escorbuto).",""
"A11HA02","Piridoxina (Vitamina B6)","Liquido parenteral","150 mg/mL","G","1","1","1","P         Parenteral","Indicación general:Profilaxis y tratamiento de su deficiencia.Prevenir y tratar neuropatía asociada a toxicidad de isoniazida, cicloserina y otros medicamentos. Síndrome de dependencia a la piridoxina. Crisis convulsiva en neonatos, lactantes y menores de 3 años.",""
"A11HA02","Piridoxina (Vitamina B6)","Solido oral","100 mg","G","1","1","1","O        Oral","Indicación general:Profilaxis y tratamiento de su deficiencia.Prevenir y tratar neuropatía asociada a toxicidad de isoniazida, cicloserina y otros medicamentos. Síndrome de dependencia a la piridoxina. Crisis convulsiva en neonatos, lactantes y menores de 3 años.",""
"A11JA","Combinaciones de vitaminas compatibles con NPT","Liquido parenteral/Solido parenteral","","G","1","1","1","P         Parenteral","Indicación general:En pacientes adultos y niños para cubrir las necesidades diarias de vitaminas en nutrición parenteral cuando no es posible usar la vía oral.  ",""
"A12AA03","Gluconato de calcio","Liquido parenteral","10 %","G","1","1","1","P         Parenteral","Indicación general: Hipocalcemia aguda (tetania por hipocalcemia, hipoparatiroidismo). Paro cardiaco en presencia de hiperkalemia, hipocalcemia o hipermagnesemia. Antídoto:Intoxicación por calcio antagonistas (administrar en caso de que no exista respuesta a la administración de fluidos).",""
"A12AA04","Carbonato de calcio*","Solido oral","500 mg","G","1","1","1","O        Oral","Indicación exclusiva: Uso exclusivo en mujeres con alto riesgo de preeclampsia, en embarazadas que viven en áreas donde la ingesta de calcio es baja y en pacientes que se encuentran en uso crónico de corticoides.",""
"A12CB01","Sulfato de Zinc*","Liquido oral","2 mg/mL y 5 mg/mL","G","1","1","1","O        Oral","Indicación general: Déficit de zinc por carencia alimentariao como asplemento en condicciones en las que se pierda zinc (trauma, quemadra, enfermedad de wilson.) Diarrea aguda en niños menores de 5 años.",""
"A12CB01","Sulfato de Zinc*","Liquido oral","20 mg/5 mL","G","1","1","1","O        Oral","Indicación general: Déficit de zinc por carencia alimentariao como asplemento en condicciones en las que se pierda zinc (trauma, quemadra, enfermedad de wilson.) Diarrea aguda en niños menores de 5 años.",""
"A12CB01","Sulfato de Zinc*","Solido oral (dispersable)","20 mg","G","1","1","1","O        Oral","Indicación general: Déficit de zinc por carencia alimentariao como asplemento en condicciones en las que se pierda zinc (trauma, quemadra, enfermedad de wilson.) Diarrea aguda en niños menores de 5 años.",""
"B01AA03","Warfarina","Solido oral","1 mg - 5 mg","E    Especialista","1","1","1","O        Oral","Indicación general: Tratamiento y profilaxis de trombosis venosa y trombo embolismo pulmonar.Profilaxis del trombo embolismo en cardiopatía reumática, fibrilación auricular o sustitución de válvulas cardíacas.Mantenimiento de anticoagulación iniciada con heparina u otro anticoagulante.",""
"B01AB01","Heparina (no fraccionada)","Liquido parenteral","5.000 UI/mL","HE     Hospitalario Especialista","","1","1","P         Parenteral","Indicación general: Profilaxis de tromboembolismo, inicio de tratamiento de trombosis venosa profunda y embolia pulmonar. Coadyuvante en el manejo de tromboembolia recurrente a pesar de anticoagulación oral. Pacientes seleccionados que presentan Coagulación Intravascular Diseminada. Infarto agudo de miocardio con elevación del ST.Coadyuvante en el manejo de angina de pecho inestable e infarto de miocardio sin elevación del ST. Mantenimiento de acceso venoso pulmonar, fibrilación auricular con embolismo.",""
"B01AB05","Enoxaparina","Liquido parenteral","2.000 UI - 10.000 UI (20 mg - 100 mg)","E    Especialista","1","1","1","P         Parenteral","Indicación general: Profilaxis de trombosis venosa profunda postoperatoria en cirugías abdominales, en elevación aguda del segmento ST en infarto miocárdico, profilaxis de trombosis venosa profunda en artroplastias cadera, rodilla y tobillo entre otras, profilaxis de trombosis venosa profunda en pacientes con restricción de la movilidad por enfermedades agudas, profilaxis en angina inestable, alternativa para tratamiento de trombosis arterial coronaria aguda, estados hipercoagulables.",""
"B01AC04","Clopidogrel","Solido oral","75 mg y 300 mg","G","1","1","1","O        Oral","Indicación general: Síndrome coronario agudo sin elevación del segmento ST.Infarto de miocardio con elevación del segmento ST.Profilaxis de eventos tromboembólicos (arteriales).Prevención secundaria de accidente cerebrovascular. Conjuntamente con ASA: posterior a angioplastia y colocación de endoprótesis coronarias (4-6 semanas mínimo). Prevención de eventos trombóticos y embólicos en pacientes con fibrilación auricular.",""
"B01AC06","Ácido acetilsalicílico","Solido oral","100 mg","G","1","1","1","O        Oral","Indicación general: Antiagregante plaquetario, para profilaxis de eventos trombóticos arteriales: cerebrales y cardiacos. Síndrome coronario agudo.",""
"B01AC17","Tirofibán*","Liquido parenteral","0,25 mg/mL","HE (p) Hospitalario Especialista Protocolo","","","1","P         Parenteral","Indicación exclusiva: En pacientes sin elevación del segmento ST y con episodio de dolor torácico de hasta 12 horas de evolución.",""
"B01AC24","Ticagrelor*","Solido oral","60 mg  y 90 mg","HE     Hospitalario Especialista","","1","1","O        Oral","Indicación exclusiva: Síndrome coronario agudo en pacientes que requieren revascularización.Pacientes con síndrome coronario agudo en tratamiento a largo plazo con resistencia demostrada a clopidogrel.",""
"B01AD01","Estreptoquinasa","Solido parenteral","1´500.000 UI","HE (p) Hospitalario Especialista Protocolo","","1","1","P         Parenteral","Indicación general: Infarto agudo de miocardio.Tromboembolia pulmonar.Tromboembolismo arterial y venoso agudo.",""
"B01AD02","Alteplasa*","Solido parenteral","50 mg","HE     Hospitalario Especialista","","1","1","P         Parenteral","Indicación exclusiva: Ictus isquémico agudo entre las 3 a 4 horas y media del inicio de los síntomas. Infarto agudo de miocardio. Tromboembolismo pulmonar agudo masivo.",""
"B01AF01","Rivaroxabán*","Solido oral","2,5 mg  - 20 mg","F,E Continuidad por especialista","1","1","1","O        Oral","Indicación exclusiva:Anticoagulación en pacientes con mayor riesgo de hemorragia o resistencia a warfarina.",""
"B02AA02","Ácido tranexámico","Liquido parenteral","100 mg/mL","K,HE  Kits de emergencia,hospitalario","1","1","1","P         Parenteral","Indicación general: Tratamiento y profilaxis de hemorragia asociada a hiperfibrinolisis excesiva. Profilaxis de angioedema hereditario. Profilaxis de hemorragia Postparto. Prevención de mortalidad en pacientes con shock traumático hemorrágico.Epistaxis.Superficie sangrante de tumores ulcerados, cavidad nasal y otros órganos (vejiga, útero, recto, estómago y pulmones).",""
"B02AA02","Ácido tranexámico","Solido oral","250 mg y 500 mg","E    Especialista","","1","1","O        Oral","Indicación general: Tratamiento y profilaxis de hemorragia asociada a hiperfibrinolisis excesiva. Profilaxis de angioedema hereditario. Profilaxis de hemorragia Postparto. Prevención de mortalidad en pacientes con shock traumático hemorrágico.Epistaxis.Superficie sangrante de tumores ulcerados, cavidad nasal y otros órganos (vejiga, útero, recto, estómago y pulmones).",""
"B02BA01","Fitomenadiona","Liquido parenteral","10 mg/mL","G","1","1","1","P(IV,IM)  Parenteral (Intravenoso/Intramuscular)","Indicación general: Profilaxis y tratamiento de hipoprotrombinemia debida a sobredosificación de anticoagulantes cumarínicos e hipovitaminosis K causada por factores limitantes de la absorción o síntesis de vitamina K (obstrucción de las vías biliares, alteraciones intestinales o hepáticas y tras tratamiento prolongado con antibióticos, sulfonamidas o salicilatos); y en profilaxis y tratamiento de enfermedad hemorrágica del recién nacido.",""
"B02BB01","Fibrinógeno Humano  (Factor I)*","Solido parenteral","1 g","HE (p) Hospitalario Especialista Protocolo","","1","1","P(IV)  Parenteral (Intravenosa)","Indicación aprobada en la 11ª Revisión del CNMB: Tratamiento de emergencia para coagulopatías de consumo con hemorragia masiva que amenaza la vida.",""
"B02BD01","Factor de coagulación IX, II, VII y X, en combinación  (complejo de Protrombina Humana)*","Solido parenteral","Factor II (280 -760 UI),  VII (180 - 480 UI), IX (500 UI),  X (360 - 600 UI),  proteína C (260 - 620 UI) y  proteína S (240 - 640 UI)","HE (p) Hospitalario Especialista Protocolo","","","1","P(IV)  Parenteral (Intravenosa)","Indicación aprobada en la 11ª Revisión del CNMB: Tratamiento y profilaxis perioperatoria de las hemorragias en el déficit adquirido de los factores de coagulación del complejo de protrombina, tales como el déficit causado por el tratamiento con antagonistas de la vitamina K, o en caso de sobredosis de antagonistas de la vitamina K, cuando se requiere una rápida corrección del déficit.",""
"B02BD02","Factor de coagulación VIII Plasmático*","Solido parenteral","250 UI - 2.000 UI","E    Especialista","","1","1","P         Parenteral","Indicación exclusiva: Tratamiento y profilaxis de episodios hemorrágicos en pacientes con hemofilia tipo A. .",""
"B02BD02","Factor de coagulación VIII Recombinante*","Solido parenteral","250 UI - 2.000 UI","E    Especialista","","1","1","P         Parenteral","Indicación exclusiva: Tratamiento y profilaxis de episodios hemorrágicos en pacientes con hemofilia tipo A. .",""
"B02BD04","Factor de coagulación IX Plasmático","Solido parenteral","250 UI - 1.200 UI","E (p) Especialista, Protocolo","","1","1","P         Parenteral","Indicación general: Tratamiento y profilaxis de episodios hemorrágicos en pacientes con hemofilia tipo B.",""
"B02BD04","Factor de coagulación IX Recombinante","Solido parenteral","250 UI - 1.200 UI","E (p) Especialista, Protocolo","","1","1","P         Parenteral","Indicación general: Tratamiento y profilaxis de episodios hemorrágicos en pacientes con hemofilia tipo B.",""
"B02BX06","Emicizumab*","Liquido parenteral","30mg/mL y 150 mg/mL","HE (p) Hospitalario Especialista Protocolo","","","1","P(SC)  Parenteral (Subcutánea)","Emicizumab está indicado para la profilaxis de rutina de los episodios de sangrado en pacientes con: - hemofilia A (deficiencia congénita del factor VIII) con inhibidores del factor VIII - hemofilia A grave (deficiencia congénita del factor VIII, FVIII < 1%) sin inhibidores del factor VIII. Emicizumab puede usarse en todos los grupos de edad.",""
"B03AA07","Sulfato ferroso","Liquido oral","25 mg/mL (equivalente a hierro elemental)","G","1","1","1","O        Oral","Indicación general: Profilaxis y tratamiento de anemia ferropénica y secundarias a pérdidas cuando no existan signos de descompensación.",""
"B03AA07","Sulfato ferroso","Liquido oral","25 - 50 mg/5 mL (equivalente a hierro elemental)","G","1","1","1","O        Oral","Indicación general: Profilaxis y tratamiento de anemia ferropénica y secundarias a pérdidas cuando no existan signos de descompensación.",""
"B03AA07","Sulfato ferroso","Solido oral","50 mg - 100 mg (equivalente a hierro elemental)","G","1","1","1","O        Oral","Indicación general: Profilaxis y tratamiento de anemia ferropénica y secundarias a pérdidas cuando no existan signos de descompensación.",""
"B03AC","Hierro sacarato  (complejo de sacarosa e hidróxido de hierro III)","Liquido parenteral","100 mg/5 mL (equivalente a hierro elemental)","E    Especialista","","1","1","P(IV)  Parenteral (Intravenosa)","Indicación general: Profilaxis y tratamiento de anemia ferropénica, en casos de intolerancia oral o cuando la misma es inefectiva o impracticable.",""
"B03AD","Sales de hierro + Ácido fólico","Solido oral","60 mg + 400 mcg","G","1","1","1","O        Oral","Indicación general: Anemia relacionada con: dieta muy pobre, desnutrición comprobada, embarzo o lactancia.",""
"B03AE04","Hierro, multivitaminas y minerales: •Hierro •Zinc •Vitamina A •Ácido fólico •Ácido ascórbico","Solido oral (polvo)","• 12,5 mg • 5 mg • 300 mcg • 160 mcg • 30 mg","G","1","1","1","O        Oral","Indicación general: Suplemento nutricional y en deficiencias vitamínicas.",""
"B03BB01","Ácido fólico","Solido oral","1 mg y 5 mg","G","1","1","1","O        Oral","Indicación general: Anemia megaloblástica.Profilaxis durante el embarazo (para prevenir defectos del tubo neural) y lactancia.Deficiencia de ácido fólico.Prevención de los efectos secundarios inducidos por metotrexato en la enfermedad de Crohn severa.Profilaxis en estados hemolíticos crónicos.Profilaxis de la deficiencia de folato en la diálisis.",""
"B03XA01","Eritropoyetina (epoetina)","Liquido parenteral/Solido parenteral","2.000 UI - 30.000 UI","E    Especialista","","1","1","P         Parenteral","Indicación general: Tratamiento de anemia asociada con insuficiencia renal crónica y en anemia severa asociada con terapia con zidovudina en VIH.Anemia asociada con quimioterapia antineoplásica o con neoplasias.",""
"B05AA01","Albúmina Humana*","Liquido parenteral","20 %","E    Especialista","","1","1","P         Parenteral","Indicación exclusiva:Plasmaféresis.Ascitis refractaria.Recambio plasmático en neonatos.Compensación en caso de trasplantes. ",""
"B05AA06","Agentes de gelatina","Liquido parenteral","3,5 %, 4 % y 5,5 %","H   Hospitalaria","","1","1","P         Parenteral","Indicación general: Utilizado como expansor plasmático en shock hipovolémico; en presentación de film absorbente o esponja, son utilizados como hemostáticos en procedimientos quirúrgicos.",""
"B05BA01","Aminoácidos","Liquido parenteral","10 % y 15 %","HE     Hospitalario Especialista","","1","1","P         Parenteral","Indicación general: Nutrición parenteral total o parcial, su uso es apropiado cuando la vía enteral es desaconsejable, inadecuada o imposible.",""
"B05BA02","Emulsiones grasas (lípidos)","Liquido parenteral","10 % y 20 %","HE     Hospitalario Especialista","","1","1","P         Parenteral","Indicación general: Nutrición parenteral total o parcial, cuando la nutrición oral o enteral es imposible, insuficiente o está contraindicada.",""
"B05BA03","Carbohidratos  (dextrosa en agua)","Liquido parenteral","5 %","G","1","1","1","P         Parenteral","Indicación general: Profilaxis y tratamiento de la deshidratación.Vehículo para administrar soluciones electrolíticas o de diversos medicamentos.Tratamiento de hipoglicemia y aporte calórico en nutrición parenteral total o parcial.",""
"B05BA03","Carbohidratos  (dextrosa en agua)","Liquido parenteral","0.1","G","1","1","1","P         Parenteral","Indicación general: Profilaxis y tratamiento de la deshidratación.Vehículo para administrar soluciones electrolíticas o de diversos medicamentos.Tratamiento de hipoglicemia y aporte calórico en nutrición parenteral total o parcial.",""
